seed,arm,inventory_sigma,max_drawdown,fills,final_pnl,t_stat,max_abs_inventory,quote_crossings
261,as,38.73440765004675,-12217.321813064245,344.0,13958.546266102214,0.6574642832387418,100.0,0.0
262,fixed,56.95629591186562,-16621.367982563766,522.0,-9378.215629926792,-1.2806955004475364,100.0,0.0
262,spread_matched,38.672728116852575,-13476.654413798928,342.0,-6951.8704848256275,-0.9380498551824556,100.0,0.0
262,skew_only,50.02746844484538,-11997.983521227281,545.0,-4948.322793737543,-0.7766297192061992,100.0,0.0
262,as,43.18668515873845,-13258.964031096386,342.0,-6734.166022523081,-1.0169265835104724,100.0,0.0
263,fixed,44.9714518222394,-2321.63304807109,553.0,4345.595865666619,1.211930969308649,100.0,0.0
263,spread_matched,26.72869431902726,-2469.6239079144907,328.0,5952.560029570576,1.217415464943732,100.0,0.0
263,skew_only,47.32662299382875,-1720.6794025966278,559.0,3835.084876304645,1.1946046426423325,100.0,0.0
263,as,30.72801977023576,-1256.7955596614715,340.0,5535.845287721861,1.7051933364063736,100.0,0.0
264,fixed,51.14621079806401,-9821.986752292201,552.0,5023.195549398063,0.5774365213580572,100.0,0.0
264,spread_matched,50.4055905530329,-11171.681125068779,337.0,264.2927401449083,0.03135430458124007,100.0,0.0
264,skew_only,44.6577831962134,-9498.736457062005,566.0,2642.358003236699,0.32804059142041253,100.0,0.0
264,as,49.45056456705019,-10388.468729912798,341.0,207.81372116882858,0.025394153357324933,100.0,0.0
265,fixed,38.04548381871362,-6321.784180596865,578.0,-117.15906072583039,-0.017663046122922136,100.0,0.0
265,spread_matched,62.5978858349066,-13641.388568232669,349.0,3242.995835135288,0.2931474189954266,100.0,0.0
265,skew_only,38.45299206823833,-6614.523185118387,581.0,-1770.8580393009474,-0.2962468509507584,100.0,0.0
265,as,50.68705727303569,-8714.077909463118,357.0,1631.4263684311686,0.2098561520243001,100.0,0.0
266,fixed,38.93255674881885,-13543.278606880045,567.0,216.85202091185573,0.025574506460743874,100.0,0.0
266,spread_matched,40.08957369441586,-8889.131058446654,373.0,2886.7337555880113,0.31710549906083696,100.0,0.0
266,skew_only,33.18297099417109,-12453.52397390351,575.0,-1655.0467075621532,-0.23378909801277373,100.0,0.0
266,as,36.37113690826835,-7290.350236085114,380.0,3042.3281204426416,0.4697072647361498,100.0,0.0
267,fixed,44.893962845799216,-8814.182977542974,551.0,-5218.907687233043,-1.1818137751224642,100.0,0.0
267,spread_matched,48.801360380628736,-7867.58111765001,361.0,-6643.880548489201,-1.4849670880873587,100.0,0.0
267,skew_only,42.59475855078885,-7561.18204566295,562.0,-1884.2539463595913,-0.5040029342130693,100.0,0.0
267,as,43.997229185483945,-6811.142384435828,367.0,-5588.312181175016,-1.5662898560941927,100.0,0.0
268,fixed,58.60201797719939,-41309.41060284333,532.0,-32388.51479217247,-0.8250973138796072,100.0,0.0
268,spread_matched,47.939722318761916,-33964.6966770788,321.0,-33626.08759438714,-1.0288205942077022,100.0,0.0
268,skew_only,42.20233309901243,-36665.97852403967,546.0,-32562.15105474501,-1.1287782963644553,100.0,0.0
268,as,40.52723478107037,-39816.77751741331,321.0,-39478.07310522166,-1.3709020491032367,100.0,0.0
269,fixed,53.383420637872206,-6549.703413405637,576.0,1751.2061183456558,0.23542698190062808,100.0,0.0
269,spread_matched,54.11025026739389,-4357.801994455067,338.0,2206.977512601056,0.475129426814949,100.0,0.0
269,skew_only,42.921011998786796,-3967.52170530256,597.0,742.5436449419444,0.15653869105454132,100.0,0.0
269,as,51.82814215269539,-3675.3515597675155,336.0,1408.4554416907433,0.38998396283165865,100.0,0.0
270,fixed,61.35102199637753,-59813.84890695958,556.0,339.0422007801526,0.006518282723780714,100.0,0.0
270,spread_matched,66.49619510919403,-79648.01018251135,339.0,5039.352189087915,0.08503793209488573,100.0,0.0
